文件,情感,时长(s),静音比例,F0均值(Hz),F0标准差(Hz),SNR(dB),频谱平滑度,说话速率(syll/sec)
1.EF_12 Angry_1.wav,ANGER,2.389375,0.6192468619246861,336.7249985672188,32.691491593783724,,0.68961567,2.5111169238817683
1.EF_12 Angry_2.wav,ANGER,2.048,0.6487804878048781,256.3303851915225,38.67108866008616,,0.49252498,1.46484375
1.EF_12 Angry_3.wav,ANGER,2.048,0.5024390243902439,288.2774895392215,27.035006696643617,13.793658018112183,0.821877,1.953125
1.EF_12 Angry_4.wav,ANGER,2.2186875,0.509009009009009,306.32343447787673,32.385148420447756,12.63853907585144,1.0417055,3.155018451223978
1.EF_12 Angry_5.wav,ANGER,2.56,0.4591439688715953,214.88290798291786,20.446607594602188,11.135059595108032,0.6391743,2.34375
1.TF_12_angry_1.wav,ANGER,2.645375,0.6264150943396226,241.37761220299447,22.20247602783367,35.67028760910034,0.30811167,3.0241459150404006
1.TF_12_angry_2.wav,ANGER,1.9626875,0.7868020304568528,273.5658022397407,16.244791332175748,29.64845895767212,0.1729583,1.5285163837849887
1.TF_12_angry_3.wav,ANGER,2.304,0.5324675324675324,271.78623222738196,43.03773825649648,22.612755298614502,0.3156919,2.604166666666667
1.TF_12_angry_4.wav,ANGER,2.4746875,0.657258064516129,242.6388497710073,28.145237984230217,30.944273471832275,0.2677689,2.0204571284253063
1.TF_12_angry_5.wav,ANGER,2.133375,0.6074766355140186,253.11742246355251,26.19610657853063,29.63817834854126,0.25869632,1.8749633796214917
10.EF_6 Angry_1.wav,ANGER,1.877375,0.5425531914893617,301.49092833597,64.23108409915369,13.730697631835938,0.36732778,2.6632931619948064
10.EF_6 Angry_2.wav,ANGER,1.792,0.4888888888888889,274.5101577719696,20.760989869835214,13.274952173233032,0.42099357,3.3482142857142856
10.EF_6 Angry_3.wav,ANGER,1.792,0.7777777777777778,300.45499675962316,19.337920203496527,39.4688081741333,0.5621932,1.6741071428571428
10.EF_6 Angry_4.wav,ANGER,2.2186875,0.5135135135135135,305.30653941741633,47.43969615361425,14.152811765670776,0.24908464,2.7043015296205524
10.EF_6 Angry_5.wav,ANGER,2.2186875,0.509009009009009,297.53743051494547,25.358227895375336,13.163846731185913,0.24659723,2.253584608017127
10.TM_12_angry_1.wav,ANGER,2.2186875,0.7072072072072072,181.95215511116524,44.41906112633201,48.53395462036133,0.4060774,1.8028676864137017
10.TM_12_angry_2.wav,ANGER,1.621375,0.6441717791411042,171.71282972792818,19.93964097020604,38.84383201599121,0.5257409,2.467041862616606
10.TM_12_angry_3.wav,ANGER,2.048,0.5658536585365853,193.5140292473096,13.677917679216375,33.778746128082275,0.6165244,3.41796875
10.TM_12_angry_4.wav,ANGER,1.621375,0.5521472392638037,175.21233296140605,9.202732229750762,52.96657085418701,0.30643776,1.8502813969624547
10.TM_12_angry_5.wav,ANGER,1.536,0.5324675324675324,169.425225415261,7.086209628399905,28.447270393371582,0.47368914,1.953125
11.EM_13 Angry_1.wav,ANGER,2.304,0.4805194805194805,293.3744112778987,69.8775731968465,8.536656498908997,0.2566655,2.604166666666667
11.EM_13 Angry_2.wav,ANGER,1.9626875,0.7055837563451777,225.31754872793928,24.432643680820885,8.104997277259827,0.19107462,1.5285163837849887
11.EM_13 Angry_3.wav,ANGER,2.048,0.2,253.0964108318051,28.41966563685626,9.317466020584106,0.58088875,6.34765625
11.EM_13 Angry_4.wav,ANGER,2.304,0.5194805194805194,246.14356377041804,29.528675380403996,10.041048526763916,0.37739608,1.3020833333333335
11.EM_13 Angry_5.wav,ANGER,1.877375,0.5159574468085106,284.4045326012251,27.44541342447315,8.912737965583801,0.34198925,1.597975897196884
11.TF_11_angry_1.wav,ANGER,1.9626875,0.41116751269035534,268.0350740705259,31.49107334384633,16.091296672821045,1.0427889,4.076043690093304
